sys_sample_code,DEC_sample_type,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.x,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,X.data_provider,sample_name,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.y
13-RIOG_T1-0.8-10022018-W,N,E365.1,10/15/2018 16:57,TRUE,NA,initial,WS,LB,NA,NA,1,METHOD,10/11/2018 15:27,NA,NA,ALSRNY,quant,R1809506-001,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0676,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.005,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-RIOG_T1-0.8-10022018-W,WS,N,Field,,R1809506,10/2/2018 8:50,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-RIOG_T1-0.8-10022018-W,N,E180.1,10/3/2018 23:00,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-001,NA,NA,,NA,NA,NA,NA,NA,,TURB,TURBIDITY,2.94,NA,TRG,Yes,Y,,NA,,NA,0.06,NA,0.1,ntu,ntu,NA,0.06,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-RIOG_T1-0.8-10022018-W,WS,N,Field,,R1809506,10/2/2018 8:50,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-RUTG-9.3-10022018-W,N,D6919-09,10/5/2018 5:52,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-003,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.0103,NA,TRG,Yes,Y,,NA,,NA,8.00E-04,NA,0.005,mg/l,mg/l,NA,8.00E-04,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-RUTG-9.3-10022018-W,WS,N,Field,,R1809506,10/2/2018 10:05,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-RUTG-9.3-10022018-W,N,Calculation,10/3/2018 20:00,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-003,NA,0,mL,NA,NA,NA,NA,NA,,14797-55-8,"NITROGEN, NITRATE (AS N)",0.349,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.01,mg/l,mg/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-RUTG-9.3-10022018-W,WS,N,Field,,R1809506,10/2/2018 10:05,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-RUTG-9.3-10022018-W,N,E353.2,10/11/2018 16:48,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-003,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,0.349,NA,TRG,Yes,Y,,NA,,NA,7.00E-04,NA,0.002,mg/l,mg/l,NA,7.00E-04,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-RUTG-9.3-10022018-W,WS,N,Field,,R1809506,10/2/2018 10:05,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-RUTG-9.3-10022018-W,N,E353.2,10/3/2018 20:00,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-003,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",NA,NA,TRG,Yes,N,U,NA,U,NA,0.007,0.007,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-RUTG-9.3-10022018-W,WS,N,Field,,R1809506,10/2/2018 10:05,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-RUTG-9.3-10022018-W,N,Calculation,10/9/2018 13:03,TRUE,NA,initial,WS,LB,NA,NA,1,,10/8/2018 0:00,NA,NA,ALSRNY,quant,R1809506-003,NA,0,mL,NA,NA,NA,NA,NA,,KN,Nitrogen,0.81,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.1,mg/l,mg/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-RUTG-9.3-10022018-W,WS,N,Field,,R1809506,10/2/2018 10:05,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-RUTG-9.3-10022018-W,N,E351.2,10/9/2018 13:03,TRUE,NA,initial,WS,LB,NA,NA,1,METHOD,10/8/2018 18:58,NA,NA,ALSRNY,quant,R1809506-003,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",0.46,NA,TRG,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-RUTG-9.3-10022018-W,WS,N,Field,,R1809506,10/2/2018 10:05,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-RUTG-9.3-10022018-W,N,E365.1,10/15/2018 17:00,TRUE,NA,initial,WS,LB,NA,NA,1,METHOD,10/11/2018 15:27,NA,NA,ALSRNY,quant,R1809506-003,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0358,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.005,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-RUTG-9.3-10022018-W,WS,N,Field,,R1809506,10/2/2018 10:05,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-RUTG-9.3-10022018-W,N,E180.1,10/3/2018 23:00,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-003,NA,NA,,NA,NA,NA,NA,NA,,TURB,TURBIDITY,1.88,NA,TRG,Yes,Y,,NA,,NA,0.06,NA,0.1,ntu,ntu,NA,0.06,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-RUTG-9.3-10022018-W,WS,N,Field,,R1809506,10/2/2018 10:05,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-TINW-4.5-10022018-W,N,D6919-09,10/5/2018 1:35,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-006,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.0129,NA,TRG,Yes,Y,,NA,,NA,8.00E-04,NA,0.005,mg/l,mg/l,NA,8.00E-04,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-TINW-4.5-10022018-W,WS,N,Field,,R1809506,10/2/2018 12:30,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-TINW-4.5-10022018-W,N,Calculation,10/3/2018 20:02,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-006,NA,0,mL,NA,NA,NA,NA,NA,,14797-55-8,"NITROGEN, NITRATE (AS N)",0.221,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.01,mg/l,mg/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-TINW-4.5-10022018-W,WS,N,Field,,R1809506,10/2/2018 12:30,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-TINW-4.5-10022018-W,N,E353.2,10/11/2018 16:52,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-006,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,0.221,NA,TRG,Yes,Y,,NA,,NA,7.00E-04,NA,0.002,mg/l,mg/l,NA,7.00E-04,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-TINW-4.5-10022018-W,WS,N,Field,,R1809506,10/2/2018 12:30,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-TINW-4.5-10022018-W,N,E353.2,10/3/2018 20:02,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-006,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",NA,NA,TRG,Yes,N,U,NA,U,NA,0.007,0.007,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-TINW-4.5-10022018-W,WS,N,Field,,R1809506,10/2/2018 12:30,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-TINW-4.5-10022018-W,N,Calculation,10/9/2018 13:05,TRUE,NA,initial,WS,LB,NA,NA,1,,10/8/2018 0:00,NA,NA,ALSRNY,quant,R1809506-006,NA,0,mL,NA,NA,NA,NA,NA,,KN,Nitrogen,0.8,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.1,mg/l,mg/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-TINW-4.5-10022018-W,WS,N,Field,,R1809506,10/2/2018 12:30,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-TINW-4.5-10022018-W,N,E351.2,10/9/2018 13:05,TRUE,NA,initial,WS,LB,NA,NA,1,METHOD,10/8/2018 18:58,NA,NA,ALSRNY,quant,R1809506-006,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",0.58,NA,TRG,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-TINW-4.5-10022018-W,WS,N,Field,,R1809506,10/2/2018 12:30,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-TINW-4.5-10022018-W,N,E365.1,10/15/2018 17:05,TRUE,NA,initial,WS,LB,NA,NA,1,METHOD,10/11/2018 15:27,NA,NA,ALSRNY,quant,R1809506-006,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0682,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.005,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-TINW-4.5-10022018-W,WS,N,Field,,R1809506,10/2/2018 12:30,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-TINW-4.5-10022018-W,N,E180.1,10/3/2018 23:00,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-006,NA,NA,,NA,NA,NA,NA,NA,,TURB,TURBIDITY,1.28,NA,TRG,Yes,Y,,NA,,NA,0.06,NA,0.1,ntu,ntu,NA,0.06,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-TINW-4.5-10022018-W,WS,N,Field,,R1809506,10/2/2018 12:30,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-TINW_T3-2.1-10022018-W,N,D6919-09,10/5/2018 6:24,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-005,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.0059,NA,TRG,Yes,Y,,NA,,NA,8.00E-04,NA,0.005,mg/l,mg/l,NA,8.00E-04,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-TINW_T3-2.1-10022018-W,WS,N,Field,,R1809506,10/2/2018 12:05,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-TINW_T3-2.1-10022018-W,N,Calculation,10/3/2018 20:01,TRUE,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1809506-005,NA,0,mL,NA,NA,NA,NA,NA,,14797-55-8,"NITROGEN, NITRATE (AS N)",NA,NA,TRG,Yes,N,U,NA,U,NA,NA,0.01,0.01,mg/l,mg/l,NA,NA,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1809506,ALSRNY,13-TINW_T3-2.1-10022018-W,WS,N,Field,,R1809506,10/2/2018 12:05,Unknown,NA,NA,NA,NA,NA,10/3/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
