"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment.x","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg","X.data_provider","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment.y"
"13-PKIL-5.7-0.7-07252018-WS","E353.2","08/14/2018 15:11:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-009",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.136,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-PKIL-5.7-0.7-07252018-WS","WS","N","Field","","R1806957","07/25/2018 11:26:00","Unknown",NA,NA,NA,NA,NA,"07/26/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-0.7-07252018-WS","E353.2","07/26/2018 22:01:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-009",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.007,0.007,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-PKIL-5.7-0.7-07252018-WS","WS","N","Field","","R1806957","07/25/2018 11:26:00","Unknown",NA,NA,NA,NA,NA,"07/26/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-0.7-07252018-WS","Calculation","08/10/2018 12:17:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","08/07/2018 00:00:00",NA,NA,"ALSRNY","quant","R1806957-009",NA,0,"mL",NA,NA,NA,NA,NA,"","KN","Nitrogen",1.36,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.1,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-PKIL-5.7-0.7-07252018-WS","WS","N","Field","","R1806957","07/25/2018 11:26:00","Unknown",NA,NA,NA,NA,NA,"07/26/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-0.7-07252018-WS","E351.2","08/10/2018 12:17:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"METHOD","08/07/2018 20:36:00",NA,NA,"ALSRNY","quant","R1806957-009",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",1.22,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-PKIL-5.7-0.7-07252018-WS","WS","N","Field","","R1806957","07/25/2018 11:26:00","Unknown",NA,NA,NA,NA,NA,"07/26/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-0.7-07252018-WS","E365.1","08/15/2018 17:40:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"METHOD","08/10/2018 18:24:00",NA,NA,"ALSRNY","quant","R1806957-009",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0894,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-PKIL-5.7-0.7-07252018-WS","WS","N","Field","","R1806957","07/25/2018 11:26:00","Unknown",NA,NA,NA,NA,NA,"07/26/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-0.7-07252018-WS","E180.1","07/26/2018 14:00:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-009",NA,NA,"",NA,NA,NA,NA,NA,"","TURB","TURBIDITY",17.4,NA,"TRG","Yes","Y","",NA,"",NA,0.06,NA,0.1,"ntu","ntu",NA,0.06,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-PKIL-5.7-0.7-07252018-WS","WS","N","Field","","R1806957","07/25/2018 11:26:00","Unknown",NA,NA,NA,NA,NA,"07/26/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WS","D6919-09","07/30/2018 19:19:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0586,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","N","Field","","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WS","Calculation","07/25/2018 12:53:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-002",NA,0,"mL",NA,NA,NA,NA,NA,"","14797-55-8","NITROGEN, NITRATE (AS N)",0.349,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.01,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","N","Field","","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WS","E353.2","08/14/2018 14:56:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.361,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","N","Field","","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WS","E353.2","07/25/2018 12:53:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",0.012,NA,"TRG","Yes","Y","",NA,"",NA,0.007,NA,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","N","Field","","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WS","Calculation","08/10/2018 11:53:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","08/07/2018 00:00:00",NA,NA,"ALSRNY","quant","R1806957-002",NA,0,"mL",NA,NA,NA,NA,NA,"","KN","Nitrogen",0.94,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.1,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","N","Field","","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WS","E351.2","08/10/2018 11:53:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"METHOD","08/07/2018 20:32:00",NA,NA,"ALSRNY","quant","R1806957-002",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.58,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","N","Field","","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WS","E365.1","08/15/2018 19:12:00",TRUE,NA,"initial","WS","LB",NA,NA,2,"METHOD","08/10/2018 18:24:00",NA,NA,"ALSRNY","quant","R1806957-002",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.127,NA,"TRG","Yes","Y","",NA,"",NA,0.004,NA,0.01,"mg/l","mg/l",NA,0.004,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","N","Field","","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WS","E180.1","07/26/2018 10:30:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-002",NA,NA,"",NA,NA,NA,NA,NA,"","TURB","TURBIDITY",4.77,NA,"TRG","Yes","Y","",NA,"",NA,0.06,NA,0.1,"ntu","ntu",NA,0.06,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","N","Field","","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WSMS","D6919-09","07/30/2018 19:35:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-002MS",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.527,NA,"SC","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",0.0586,0.5,0.527,94,NA,NA,NA,NA,"",75,125,20,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","MS","Lab","13-POCH-2.6-07242018-WS","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WSMS","E353.2","07/25/2018 12:54:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-002MS",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",0.288,NA,"SC","Yes","Y","",NA,"",NA,0.007,NA,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"",0.012,0.25,0.288,110,NA,NA,NA,NA,"",75,125,20,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","MS","Lab","13-POCH-2.6-07242018-WS","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WSMSD","D6919-09","07/30/2018 19:51:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-002DMS",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.531,NA,"SC","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,0.0586,0.5,0.531,94,"<1",75,125,20,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","SD","Lab","13-POCH-2.6-07242018-WS","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-07242018-WSMSD","E353.2","07/25/2018 12:54:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-002DMS",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",0.295,NA,"SC","Yes","Y","",NA,"",NA,0.007,NA,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"",NA,NA,NA,NA,0.012,0.25,0.295,113,"2",75,125,20,NA,NA,NA,"R1806957","ALSRNY","13-POCH-2.6-07242018-WS","WS","SD","Lab","13-POCH-2.6-07242018-WS","R1806957","07/24/2018 10:03:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-RIOG_TI-0.8-07242018-WS","D6919-09","07/30/2018 19:03:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-001",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0397,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-RIOG_TI-0.8-07242018-WS","WS","N","Field","","R1806957","07/24/2018 08:55:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-RIOG_TI-0.8-07242018-WS","Calculation","07/25/2018 12:53:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-001",NA,0,"mL",NA,NA,NA,NA,NA,"","14797-55-8","NITROGEN, NITRATE (AS N)",0.243,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.01,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-RIOG_TI-0.8-07242018-WS","WS","N","Field","","R1806957","07/24/2018 08:55:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-RIOG_TI-0.8-07242018-WS","E353.2","08/14/2018 14:55:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-001",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.255,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-RIOG_TI-0.8-07242018-WS","WS","N","Field","","R1806957","07/24/2018 08:55:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-RIOG_TI-0.8-07242018-WS","E353.2","07/25/2018 12:53:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1806957-001",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",0.012,NA,"TRG","Yes","Y","",NA,"",NA,0.007,NA,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1806957","ALSRNY","13-RIOG_TI-0.8-07242018-WS","WS","N","Field","","R1806957","07/24/2018 08:55:00","Unknown",NA,NA,NA,NA,NA,"07/25/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
