sys_sample_code,sample_date,site,location,lab_sdg,sample_source,nysdec_sample_type,chemical_name,fraction,result_value,result_unit,lab_flag,lab_anl_method_name,cas_rn,method_detection_limit,detection_limit_unit,quantitation_limit,analysis_date,equipment_blank_ssc,equipment_blank,equipment_blank_result_value,precision_ssc,precision,precision_result_value,accuracy_ssc,accuracy,accuracy_result_value,holding_time_value,holding_time,qc
090120clk1200inf,2020-09-01T16:00:00Z,clarkson,influent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0147,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T02:43:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,226.716666666667,pass,accept
090120clk1500eff,2020-09-01T19:00:00Z,clarkson,effluent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0801,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T03:44:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,224.733333333333,pass,accept
090120clk1500inf,2020-09-01T19:00:00Z,clarkson,influent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0216,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T02:52:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,223.866666666667,pass,accept
090120con1200amb,2020-09-01T16:00:00Z,control,ambient,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0166,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T02:33:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,226.55,pass,accept
090120esf1200amb,2020-09-01T16:00:00Z,esf,ambient,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0177,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T02:34:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,226.566666666667,pass,accept
090120esf1200eff,2020-09-01T16:00:00Z,esf,effluent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.182,mg/l,no_flag,E365.1,7723-14-0,0.018,mg/l,0.025,2020-09-11T04:00:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,228,pass,accept
090120esf1200inf,2020-09-01T16:00:00Z,esf,influent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0197,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T02:48:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,226.8,pass,accept
090120esf1500eff,2020-09-01T19:00:00Z,esf,effluent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.204,mg/l,no_flag,E365.1,7723-14-0,0.018,mg/l,0.025,2020-09-11T04:33:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,225.55,pass,accept
090120esf1500inf,2020-09-01T19:00:00Z,esf,influent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0209,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T03:45:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,224.75,pass,accept
090220clkmiddoc,2020-09-02T16:00:00Z,clarkson,lab,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0162,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T03:53:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090320clk1200ambdup; 090320esf1200effdup,fail; fail,53%; 58%,090220clkpredoc ms,pass,0.0471,203.883333333333,pass,reject
